px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.48783	-5.17469	-2.75012	2.28168	0.580758	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.28583
7.54975	-5.33214	-2.76858	2.27357	0.541327	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	1.53004
7.63857	-5.4542	-2.75262	2.29253	0.528851	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.576157
7.71412	-5.59418	-2.76182	2.2954	0.503129	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0.629148
7.79156	-5.70519	-2.71221	2.30838	0.486241	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	1.32508
7.85192	-5.85482	-2.72092	2.29496	0.446967	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	1.44539
7.96789	-5.98896	-2.86342	2.32167	0.458871	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	8.14863
8.03525	-6.1323	-2.87745	2.30976	0.424484	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	1.12527
8.13005	-6.25098	-2.83981	2.32286	0.411911	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.32571
8.21572	-6.38894	-2.84628	2.32232	0.389069	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.456004
8.29941	-6.49874	-2.79386	2.33135	0.375154	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.39414
8.36513	-6.65068	-2.79988	2.31136	0.335382	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	1.35174
8.45594	-6.76594	-2.78602	2.32121	0.326734	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.473488
8.53104	-6.90335	-2.78632	2.3115	0.299815	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.64194
8.60652	-7.00428	-2.75149	2.31643	0.288972	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.832124
8.65968	-7.14606	-2.75681	2.29072	0.249939	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	1.35234
8.77105	-7.27516	-2.86784	2.3052	0.256519	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	5.25895
8.82963	-7.42558	-2.87843	2.27767	0.217237	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	1.38711
8.89811	-7.53599	-2.76516	2.27124	0.194021	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	6.2048
8.95727	-7.68533	-2.7657	2.24625	0.159455	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	1.07156
9.03882	-7.80083	-2.7777	2.24846	0.1545	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.342411
9.08234	-7.94874	-2.78161	2.21524	0.114927	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	1.4222
9.12591	-8.05297	-2.64597	2.19765	0.084859	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	7.60787
9.17366	-8.1972	-2.64361	2.17063	0.0543759	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.925004
9.25332	-8.31859	-2.68217	2.17256	0.0557714	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.735598
9.28387	-8.46667	-2.68694	2.13451	0.0166952	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	1.45614
9.32813	-8.58368	-2.5919	2.1129	-0.0116846	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	4.29049
9.36344	-8.72988	-2.59073	2.0811	-0.0413889	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.926761
9.50191	-8.88369	-2.85472	2.12639	0.0247924	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	31.44
9.53893	-9.04517	-2.87226	2.08959	-0.0112785	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	1.24515
9.58203	-9.16363	-2.79877	2.06926	-0.0363123	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	2.7868
9.62078	-9.30763	-2.80433	2.04329	-0.0592947	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.506001
9.65803	-9.42586	-2.74628	2.02268	-0.0811568	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.79471
9.67346	-9.58184	-2.75654	1.98099	-0.116871	9.54779	-9.64959	9.55	-9.65	0	-3.0002	1.2501
